apvExpLabId,apvCodApli,apvCodEmpresa,apvCodCargo
10179,231774,9150,3928
6873,241484,9152,3930
9605,234854,9160,3934
9481,231171,9161,3938
2808,238953,9162,1703
2139,238292,9164,3944
2058,238190,9165,3945
5021,240111,9166,3695
4235,239720,9167,3947
9958,235248,9171,1755
11612,243026,9172,2319
5914,237797,9173,3948
7207,241910,9175,3950
9884,235817,9176,3020
10611,232407,9177,3952
7707,242491,9180,3953
4030,239464,9181,2977
1337,236014,9183,3754
7102,234574,9184,2911
9454,231791,9185,3972
1315,235605,9188,3973
9564,231276,9192,1942
10760,232598,9196,3974
10993,233915,9200,3978
2601,238499,9202,2399
1894,237493,9205,321
5601,240622,9206,361
2154,238305,9209,4437
3544,239087,9211,3986
3929,238318,9213,350
11198,232877,9223,3989
13674,244579,9225,3994
7782,230793,9226,3996
7111,234510,9239,4000
6633,241453,9243,4001
1484,236901,9251,3457
6905,241653,9254,4002
6802,241568,9258,458
1223,236021,9261,4007
2176,238176,9264,4014
4116,239644,9267,1849
9899,236408,9268,446
11339,237037,9269,559
1480,236856,9270,4018
6614,241374,9272,1851
10259,231974,9276,4021
9553,231790,9279,532
11308,232831,9280,2386
13577,244516,9281,4065
6931,242156,9282,4030
10577,233342,9284,4034
9487,235590,9286,4038
3936,236295,9290,4039
2673,238667,9291,4052
11881,243313,9292,4055
2318,238270,9295,4767
7059,241716,9296,4056
7513,242390,9298,4057
10781,231673,9300,2506
3815,234702,9301,4063
7413,242312,9303,4069
6822,241937,9306,4074
10900,233576,9309,4075
10005,236661,9310,414
4174,239705,9314,4078
4808,240000,9315,4079
10047,243009,9317,3918
9985,232569,9318,3183
11594,243016,9325,2973
11069,233614,9329,408
3995,239446,9335,1794
4946,232779,9336,3395
7423,242336,9341,239
8694,231604,9342,2228
4215,237061,9344,3763
11559,236328,9346,535
12251,243681,9350,486
3313,239029,9351,4087
2710,238805,9353,1767
1558,231737,9356,4101
4897,239906,9357,4102
5852,241054,9358,2975
7355,242235,9359,4104
12365,243769,9364,4110
11194,233715,9366,593
10907,233713,9369,4111
9610,235108,9371,4113
4720,239802,9374,4648
10483,233335,9376,4123
5833,241025,9378,4124
4038,239491,9379,82
13576,244515,9380,413
1540,237675,9381,4129
3905,237280,9384,4279
6288,241217,9386,4138
9621,235607,9387,4693
12571,243920,9389,4154
11934,238399,9390,4164
6974,242227,9391,4165
13776,244530,9392,4166
9652,232116,9393,4167
3575,238581,9394,4174
5653,240772,9395,4179
3919,237803,9396,4184
5679,240573,9397,4185
2072,235985,9398,4186
9874,235326,9399,2171
9685,236662,9400,3960
9506,236399,9401,4201
8228,242932,9402,4202
11722,243170,9404,4210
2362,238408,9405,4211
5005,239980,9407,4215
3939,239282,9408,4217
10841,232289,9409,4223
4924,240427,9410,4221
6157,240854,9411,4192
1488,236958,9412,4229
6105,240076,9413,4232
3584,239357,9414,4234
861,234844,9415,4131
5564,240525,9418,4247
11374,234477,9420,4251
9991,236466,9422,4670
10986,233794,9424,4253
2257,231821,9425,4254
10823,233163,9428,4255
11776,243214,9431,402
2302,238155,9432,4271
4934,240558,9438,4275
10695,233372,9439,4284
4908,240225,9442,4291
7441,242353,9444,4296
7075,241901,9445,4302
8678,231074,9447,4308
12903,244098,9449,4314
11351,237498,9451,4316
10322,232966,9452,4327
4034,239477,9458,4331
6230,240900,9459,4035
6348,241316,9462,4333
6732,241397,9463,4334
1363,236378,9465,4286
8349,242846,9473,4340
7904,242459,9479,1816
2715,238506,9484,4341
7344,242213,9490,4347
5429,240187,9496,4349
5670,240796,9498,4353
5676,240795,9503,4362
8277,242941,9504,4365
8291,241596,9508,4955
9862,235325,9509,4368
12009,243468,9510,4370
1545,236859,9513,4371
6532,231538,9515,4387
7160,241887,9516,4389
1344,235867,9518,4392
13351,244310,9522,4393
4348,239545,9524,4396
9394,231939,9525,4403
4326,239520,9531,4405
7556,238498,9532,2514
7156,241870,9537,4411
5566,239628,9538,4412
4191,239737,9539,2275
12075,243529,9542,3854
2800,238930,9543,3037
6801,241567,9544,4439
5597,237800,9547,2608
10450,232781,9549,1825
3979,238852,9552,4442
3798,234619,9554,2411
10208,234718,9557,4451
1905,237866,9558,182
9620,235364,9559,3323
4966,232922,9562,3521
5039,240277,9565,2159
1666,237968,9569,4472
2088,238230,9570,234
11124,234509,9572,709
10798,232610,9573,4493
2671,238665,9574,4494
1964,238043,9575,3427
1657,237955,9576,4497
10951,234288,9580,4498
5786,236861,9581,4500
6695,241698,9583,4983
9772,231473,9588,4519
7897,242724,9589,4524
12363,243765,9595,1677
12636,243879,9596,4538
2728,238836,9598,4539
8160,242755,9604,2064
5760,240933,9611,4542
10204,235260,9612,4555
8704,231727,9614,4558
12112,243577,9618,4565
12113,243578,9620,292
11143,233355,9621,4572
12816,244046,9626,4573
4983,233164,9627,4576
4147,239547,9628,4577
7325,242193,9631,4579
7394,242078,9632,4581
2277,231282,9637,4588
3832,234958,9654,4589
12373,236015,9657,4590
12066,243514,9666,4594
8660,230753,9669,4716
9691,230758,9674,188
9347,230736,9677,4601
9417,230770,9687,614
9418,230773,9688,4606
8668,230820,9692,4608
9742,230964,9693,4609
8464,230968,9695,143
3902,239084,9697,4613
9744,231002,9698,4623
9424,231020,9701,4625
8467,231172,9706,4626
9904,231215,9710,4633
8468,231177,9719,2023
9427,231302,9721,4636
9428,231297,9723,4637
9542,231304,9725,1931
8469,231060,9726,4639
8684,231307,9731,4649
8470,231319,9733,4658
9909,231333,9734,4659
9430,231320,9737,4660
9910,231326,9740,4673
8473,231331,9741,4676
9433,231351,9742,4678
9435,231365,9745,4679
8474,231357,9747,4680
9913,231361,9749,4686
9278,231366,9752,3587
9282,231411,9755,4705
9438,231414,9758,4765
9915,231427,9759,4711
9917,231464,9767,4712
8477,231506,9771,4713
8690,231587,9773,4715
9285,231539,9775,4720
8479,231565,9779,4721
9286,231508,9781,4729
9363,231609,9782,4732
9287,231622,9787,4733
8481,231658,9788,4741
9441,231659,9790,4748
3975,239383,9793,198
2232,231637,9799,2361
8485,231648,9800,4750
8697,231651,9804,4700
1551,237568,9805,4775
8489,231706,9806,4346
2244,231708,9808,4769
9853,231995,9809,4785
9372,231719,9811,4788
9292,231709,9812,4790
9550,231750,9815,4791
9374,231765,9816,4094
9294,231744,9820,4792
9296,231793,9821,4691
9555,231795,9822,1805
9376,231753,9826,4793
9377,231817,9828,4794
3476,239123,9829,5003
3468,239117,9832,4760
8712,231820,9835,4798
9750,231814,9838,4801
9303,231837,9839,4805
9558,231801,9840,4810
